x,y,title,User,Category,Description,Installations,Score
5.0117126,11.484369,ABC Kids PreSchool Learning,Children,Literacy - English / ABCs,"ABC kids Preschool learning Games for Kids A-Z (500+ Worksheets) is an educational games for toddler baby to learn basic tracing starting from ABCs alphabet learning, lines, phonics games, trace numbers 123(1 to 10) and shapes & colors. 

ABC Kids ...","10,000",n/a
0.98498756,10.778221,Animal sounds. Learn animals names for kids,Children,General play,"The largest zoo of animals for kids!!!  Works offline Full Free! I’d like to mention once again, the app is completely free, because I made it for my little daughter. Voiced in English, Spanish, Hindi, Russian and other.

It’s like a children’s pho...","1,000,000",4.95
2.1180868,9.243819,Toddler's Audio Player: music and stories for kids,Children,General play,"Your kids want to choose music by themselves, but they can't read yet? This app is a kid friendly music player with parental controls.

Add tracks from your device or Internet to Toddler's Audio Player, assign images and switch to the child mode. T...","10,000",n/a
-0.7696438,6.2415085,Lovebug,Parents,Helping babies to sleep,"Lovebug provides you with a baby nap schedule, over 100 video lessons with pediatric sleep coaches, a baby tracker and many more tools to make baby sleep a breeze. Researching and planning your baby’s sleep is now one less thing you have to worry abo...","1,000",n/a
5.007735,10.352841,Jolly Phonics Songs,Children,Literacy - English / ABCs,"All our hugely popular songs from Jolly Phonics are now available in one fun app, which includes the actions too! Children will love learning their letter sounds by singing along to the Jolly Songs and doing the actions. Being able to identify the le...","5,000",4.62
-1.393052,7.953118,Lullaby for Babies,Parents,Helping babies to sleep,"The lullabies are intended for parents who want to quickly put their children to sleep.
If your baby is crying, has trouble falling asleep or to calm down before bedtime, try the our lullabies to put the children to sleep.

Lullabies, lullaby lyri...","1,000,000",4.89
1.8731724,8.019325,Mother Goose Club: Nursery Rhymes & Learning Games,Children,General play,"Transform screen time into a fun learning experience with Mother Goose Club!

We've developed a great app using song, rhyme, play and dance, to bring preschool to the world. From babies to young children this is the ideal first app, with:

• Excl...","100,000",3.59
1.9537286,9.800926,Little Hospital,Children,General play,"EXPERIENCE A HOSPITAL
Meet doctors, nurses, dentists and flower shop keepers. Try out the X-ray, drive an ambulance and save some kids after a crash with their skateboards. 
 
DISCOVER & EXPLORE
In Little Hospital kids can discover a busy medical...","1,000,000",3.05
3.506992,10.453124,Kids Academy Talented & Gifted,Children,Learning play,"COPPA and FERPA compliant, 100% safe with parental control and no ads.

Based on tried-and-true approaches to preschool education, Kids Academy's Early Learning Center is educational apps for kids from 2 to 10. It develops reading, writing, and mat...","100,000",3.92
-0.17142965,9.761485,Toddler puzzle games for kids,Children,General play,"Fun and educational app for children between the ages 1-5 years! This amazing learning game will definitely be enjoyed by kindergarten and preschool children. Designed for both boys and girls.

Every vehicle will take you on a little adventure wher...","500,000",2.57
0.9793044,3.917043,GLOW. Pregnancy & Baby Tracker + Baby Registry App,Parents,Pregnancy tracking,"Pregnancy? Countdown baby and track pregnancy with Glow Nurture!

Glow Nurture is an amazing pregnancy tracker app. It gives you everything you need during your pregnancy, including daily updates on baby size, baby development milestones, baby coun...","1,000,000",4.45
2.8584154,11.831493,Toddler educational games,Children,Learning play,"Toddler educational games include puzzles for toddlers that will help to develop their coordination, attention, logic and motor skills.

The game for toddlers with various puzzles that are suitable for both boys and girls. 

Experts believe that ...","1,000,000",4.06
-1.1768863,7.803912,Atmosphere: Lullaby Music for Babies,Parents,Helping babies to sleep,"Lullabies are one of the most common things known among people since ancient times and have existed in almost every culture. Lullabies soothe babies and calm them to sleep. Thus, infants develop a lot of attachment to some particular lullaby if a mot...","10,000",4.92
0.06716416,5.774907,Louenna,Parents,Tracking babies' rhythms,"Louenna is the ‘Nanny in Your Pocket’ app giving parents everything they need to prepare for and care for their babies and children. Whenever you have a question about your baby or child, the app has the answer. Featuring over 250 chapters, video dem...","5,000",4.2
1.3862385,9.297414,Sago Mini World: Kids Games,Children,General play,"THE PERFECT APP FOR PRESCHOOLERS
Discover hours of creative, interactive play with 40+ award-winning games in one app! Little ones aged 2-5 play, build, create, and pretend with thoughtfully designed games that spark imagination and curiosity. 

*...","5,000,000",3.96
2.7644982,11.176404,Kid-E-Cats: Games for Toddlers,Children,Learning play,"Do you like cats game for kids? Then these kitty games for babies are for you! 😺 Kids learning games free! This game for kid will be very useful in learning! 🤓📚

One, two, three, four, five 
Kittens going on a hike!
Doubts aside, no second though...","1,000,000",2.67
1.1706393,11.327535,Learn Animals for Kids – Preschool Learning,Children,General play,"Are you ready to help your little one learn about forest, grassland, desert, polar, ocean animals, pet animals and other types of animals through an animal learning app? How about offering interactive learning experience to kids through educational v...","10,000",n/a
0.7480383,12.941578,Kids Coloring & Kids Drawing – Coloring Book,Children,Drawing and colouring,"""✨If you wonder how your kids should spend their time while you have to finish some job, the coloring game is here to help you. This amusing application is made for children in aim to fulfil their time in creative, fun and interesting way. It represe...","100,000",4.44
0.8526931,10.347891,Toca Life: Pets,Children,General play,"Welcome to Toca Life: Pets, where you and your animal friends run the show! What’s your favorite pet like? Furry and fast? Wet and wiggly? A little bit creepy? With more than 120 animals, Toca Life: Pets has every kind of pet you can imagine.

EXPL...","100,000",4.38
4.7180657,13.195695,Learn numbers for toddlers. Number tracing app,Children,Numeracy development,"Learn numbers with an educational game for kids and toddlers, that provides for children a chance to learn preschool math, numbers from 1 to 20, counting and tracing numbers on the screen. This helps kids enjoy the learning numbers process at an earl...","10,000",n/a
3.635602,10.821675,Montessori Preschool Games,Children,Learning play,"Montessori Preschool Games is a comprehensive play and learning app that helps kids learn their ABCs, numbers, counting, shapes, math, organizing, tracing, hand-eye coordination, and more. Your child will be able to practice thousands of new words, l...","10,000",n/a
-0.67605543,4.755412,"Baby Feed Timer, Breastfeeding",Parents,Tracking babies' rhythms,"Designed by and for breastfeeding mothers who want to track when and for how long their baby feeds, including a useful reminder for when a feed is due. It even tells you which breast to start on! 

Breastfeeding or Bottle feeding and trying to keep...","50,000",4.72
4.1880956,8.751041,Speech Blubs: Language Therapy,Children,Learning play,"Do you need more proof? Check out the featured stories on Speech Blubs in Thrive Magazine, Autism Parenting, Brisbane Kids, Speech Chick Therapy, Beautiful Speech Life, and The Speech Teacher. Speech Blubs was also honored by winning the Social Impac...","1,000,000",3.56
4.591193,12.493671,Learning numbers and counting for kids,Children,Numeracy development,"We present an educational application for kids that will help them learn numbers together with funny characters, as well as teach them how to count and perform simple mathematical operations. 

Funny and bright pictures are waiting for the kids, so...","100,000",n/a
-1.5168091,7.120808,Sound Sleeper - White Noise,Parents,Helping babies to sleep,"Get to sleep quickly and sleep well through the night.
Features:
- white noise sounds including fan, vacuum cleaner, rain, womb, and more…
- sound self-activates at first cry – you might not even have to get out of bed to soothe your baby!
- reco...","500,000",4.7
1.9943169,10.052851,True Wishes,Children,General play,"True shares her wonderful Wishes with you! Join True in playing bright, fun-filled activities!

The Rainbow Kingdom awaits! True welcomes you to the Rainbow Kingdom, and needs your help! Choose any of True's seven wish friends and tap, swipe, stack...","10,000",4.29
5.3313437,12.585692,123 for Kids | Number Flashcard Preschool Toddlers,Children,Numeracy development,"123 For Kids is a Numbers Flashcards App, containing ideal amount of undistracted information to help memorizing the numbers’ shapes for children of 8 months to 5 years. 123 For Kids is specially designed to cater the needs of parents to memorize the...","50,000",n/a
1.9349568,0.4706825,Clue Period & Cycle Tracker,Parents,Fertility tracking,"Track your period, discover patterns in your menstrual cycle, and learn how your body works – with Clue. 

Clue is more than just a period tracker. The app uses science and data to help you learn how your menstrual cycle affects your mind and body....","10,000,000",4.57
2.3177893,11.769019,Jack's House - Games for kids!,Children,Learning play,"Funny life situations of little Jack will teach your child in the easiest form! The game develops logic, attention, memory and color perception. Excellent graphics, lots of animation, phonic voice, lively music and funny sounds will not get you bored...","1,000",4.0
1.9966134,5.646387,Baby Pics Free,Parents,Baby photos,"Capture your precious moments and turn them into ever lasting memories. Baby Story App makes your pregnancy, baby pics, and baby milestones into beautiful visual stories. 

Parents-to-be & new parents, Baby Pics app is made for you!

Capture prec...","1,000,000",4.87
-1.5675807,7.693223,Lullabo: Lullaby for Babies,Parents,Helping babies to sleep,"Lullabo contains a carefully selected collection of soothing lullabies and white noise for babies or toddlers.

It can help you to put your baby to sleep faster and prevent unintentional sleep interruptions. The lullabies can be played simultaneous...","500,000",4.85
1.4307375,4.524089,Bounty Pregnancy and Baby App,Parents,Pregnancy tracking,"The Bounty Pregnancy App & Baby Tracker App is both a pregnancy countdown app when you are expecting and a parenting app for with a baby development tracker for new parents once you have given birth.

--- EVERYTHING YOU NEED DURING YOUR PREGNANCY A...","500,000",4.76
-1.1274014,7.6191635,Relax Baby Music Lullaby Songs,Parents,Helping babies to sleep,Relaxing Lullabies Music and Songs with sleep sounds all packed in a single app. Relaxing sounds brings together a variety of different Meditation views to choose according to your mood. With the HD audio and relaxing wallpapers you will feel like yo...,"5,000",n/a
2.709932,10.209175,Baby Games: 2-4 year old Kids,Children,Learning play,"15 games for 2,3,4 year olds. Keep your toddlers occupied with 15 different educational baby games, which will help them learn and improve their skills while having a great fun. 

Preschool games give our babies lots of interactive learning time, s...","10,000,000",4.73
2.0329933,11.641873,Puzzloo - Educational Games for Kids,Children,Learning play,"Puzzloo - Educational Activities for Kids is a great game! In addition to entertaining and entertaining, it also helps in pedagogical development by encouraging attention, memorization, agility, number counting, separation methods, among other skills...","1,000",n/a
2.9085398,9.910337,Smile and Learn,Children,Learning play,"Smile and Learn is an app for children age 3 to 12,  including more than 7,500 educational activities, games, interactive stories and videos for kids age 3 to 12. 

 Our goal is for your kids to develop and strengthen their multiple intelligences a...","100,000",n/a
1.3511437,12.138486,Animals Puzzle for Kids: Preschool,Children,General play,"Do your kids love animals and puzzles and looking puzzle games for kids? Look no further. Animals Puzzle for Kids is a fun animated puzzle game for toddlers including those with autism, preschoolers, and children from ages 1 to 6. These puzzle games ...","1,000,000",3.94
2.3709192,0.57840395,Period Calendar Period Tracker,Parents,Fertility tracking,"★The rating 4.9★ period calendar!

Popular in 63 Countries.
Trusted by 100 million Android Users.

Keep track of your menstrual cycles with Period Calendar. It tracks your periods, cycles, ovulation and the chance of conception. Period tracker h...","100,000,000",4.93
5.4996867,8.281802,Learn French Vocabulary - Kids,Children,Literacy - non-English,"Welcome to ""Chick - Learn French"", a learning app for kids , beginners and starters from 2 to 8 years of age, through which they will learn french in a fun, playful way.

Download the app and enjoy its content!

Topics
★ Alphabet 
★ Numbers
★ ...","100,000",4.63
1.5394996,8.451365,BabyBeats™ Early Intervention Resource,Children,General play,"Parents may feel lots of different emotions following the diagnosis of their child’s hearing loss. It can be an emotional and  challenging time and many parents ask, “How can I support my child right now?”      
                                     ...","5,000",n/a
0.51274675,9.483662,Sago Mini Planes Adventure,Children,General play,"Try before you buy!* Play Planes Adventure free 6 times, no strings attached.

The most magical, fun-filled airplane adventure for kids! 

Pick a plane, load your passengers and take flight! Catch some sun at the beach then cool off in the arctic...","100,000",3.92
-0.11942225,9.982248,Garage Master - games for kids,Children,General play,"Unique kids game which will help your child to develop creativity! A car game for toddlers, with amazing heroes for both boys and girls. It is designed for children and toddlers 2+ years old.

Main features:
✔ Easy and smooth tap controls
✔ Choos...","1,000,000",3.79
3.7107234,11.381975,Preschool & Kindergarten 2 SE,Children,Learning play,"9 brand-new educational games for preschool and kindergarten aged kids! Featuring helpful voice narration, colorful animations, and fun sound effects these games will help your kids in 9 different subjects including counting, sorting, letters, phonic...",500,n/a
5.292343,12.724946,Elmo Loves 123s,Children,Numeracy development,"This is an app full of games, activities, and videos, which will help teach your child about numbers and counting. Numbers 1, 2 and 3 included. Upgrade to unlock numbers 4 through 20.


Elmo loves exploring numbers! This app has songs and videos a...","1,000,000",3.59
2.9694984,11.215233,Funny Food Kids Learning Games,Children,Learning play,"The Funny Food Academy app is full of kindergarten learning games, where young ones can learn basic math for kids. Starting with kids a-z, it also has writing games that will have them learning loads! 🍉

This academy app with abc games for kids bri...","1,000,000",4.28
4.8368926,8.214083,English for kids,Children,Literacy - English / ABCs,"Our English learning app is very useful for your kids who need to improve English vocabulary, listening and reading skills. You can let your kids learn English with a wide range of vocabulary and lots of learning games for kids such as: listening, sp...","1,000,000",4.33
2.262963,11.086661,Kids Educational Games. Attention,Children,Learning play,"Kids Play Visual Games is an app that consists of 15 educational games developed to reinforce skills of visual and spatial perception, aimed at kids of all ages.
Each of these games will help your child to process information and implement visual sk...","1,000,000",3.22
6.230124,9.084162,Learn Arabic for Kids,Children,Literacy - non-English,Learn Arabic for Kids is a great way to learn Arabic for kids between 3 and 15 years old. It is based on the Arabic alphabet and Arabic vocabulary and Maths (addition multiplication subtraction division) and short stories Arabic. Young learners begin...,"500,000",4.5
0.96807736,5.731699,WeParent,Parents,Parental support,"WeParent was featured by Parents, Romper, App Advice, NBC, ABC, and Forbes.

Developed by a team of divorced and single parents whose only mission is to make co-parenting simpler and less stressful.

Manage your custody schedules, organize calend...","5,000",1.0
2.5985472,12.158241,LogicLike: Games for kids,Children,Learning play,"👩‍🏫LogicLike is a collection of games that foster learning and help children boost their thinking skills. Our games get automatically adapted to your child's age to drive their logic, memory and focus in the best possible way.

🧩LogicLike puzzles f...","100,000",4.42
3.4430368,11.783602,Toddler games for 2-3 year old,Children,Learning play,"Educational toddler games for pre-kindergarten kids. Our app has 16 pre-k activities for toddlers that will help your kid or baby develop basic skills like hand eye coordination, fine motor, logical thinking and visual perception. These games will su...","10,000",n/a
0.9240145,10.828311,Zoo For Preschool Kids 3-9,Children,General play,"- In this application; We emphasize that  animal love, protecting animals and animals are part of our lives.

- Our application is designed for children in pre-school and developmental age.

- Our application is audible and visual.

- Our child...","1,000,000",4.8
6.4705677,10.25582,Russian alphabet for kids,Children,Literacy - non-English,"Learn Russian Alphabet with your kids. Colorful pictures, big images. Shake the phone to get a random letter.

Pronunciation of the letters and sounds helps children faster and easier to remember the alphabet.

For children from 2 to 7 years.

...","1,000,000",4.08
-1.3961996,6.8466153,White Noise Baby,Parents,Helping babies to sleep,"Recommended by Katie Couric as an APP-solutely fabulous baby app for moms! Help your baby relax, stop crying, and sleep better.  Includes perfectly looped sounds that your baby will love such as taking a car ride, classical music, conch shell, and do...","1,000,000",4.64
3.3814151,11.204057,Bimi Boo Baby Games for Kids,Children,Learning play,"Baby Games for Kids by Bimi Boo includes 15 learning games for 2, 3, 4, 5 year olds with 4 free preschool games! Baby games provide fun learning and entertainment experience for boys and girls. Games for kids is easy to play & learn. Toddlers also en...","5,000,000",4.15
1.2303313,7.1166177,BabySparks - Development Activities and Milestones,Children,Learning play,"SUPPORT YOUR CHILD’S DEVELOPMENT THROUGH MEANINGFUL PLAY
Designed by child development experts and used by millions of parents and caregivers worldwide, BabySparks offers thousands of activities and milestones for children ages 0-3. You get a person...","1,000,000",3.44
5.1455,12.704757,Ми-ми-мишки: Учим цифры! Счет для малышей от 2 лет,Children,Numeracy development,Bebebears: Learn Numbers is an educational game for preschool children. The game will help girls and boys familiarize themselves with the numbers from 1 to 100 by playing interesting mini-games. Learn the Numbers includes over 200 educational activit...,"100,000",n/a
3.108357,11.960012,Baby shapes & colors for kids,Children,Learning play,"Shapes and Colors is an educational game for kindergarten and preschool kids ages 2 to 5. Our app contains 15 learning activities for toddlers that allow them to learn by playing. These baby games will allow boys and girls to develop logic, memory, a...","5,000,000",4.05
0.6471744,13.165349,Toddler Paint and Draw,Children,Drawing and colouring,"• Simple interface designed for children ages 2-6
• 60 brushes and 40 backgrounds
• Multitouch: draw with multiple fingers

This game is ad free (contains no third party or commercial ads).
 
A painting game easy enough for kids to play on thei...","100,000",2.83
4.311419,13.511993,Kids Multiplication Math Games,Children,Numeracy development,"Free educational flash cards, multiplication games, math puzzles, and learning games for kids. Everything your child needs to start their early education is here in a fun, colorful, and free kids game!

The best way to learn multiplication tables a...","10,000,000",3.97
3.0300882,10.614825,Baby Games 2+ years old,Children,Learning play,"Our baby games are designed to give your toddler pleasure and gathers the most popular and loved baby games such as Puzzles, Fireworks, Drawings and so on.

- Great vector graphics
- 3 Alphabets are supported: Latin, Cyrillic, Greek
- Parental co...","500,000",n/a
4.51748,10.077383,Duck Duck Moose Reading,Children,Literacy - English / ABCs,"Go on a phonics adventure in the zoo: 9 different word and letter activities help kids learn by feeding and playing with animals!

An award-winning app based on Common Core State Standards, Duck Duck Moose Reading teaches phonics and reading skills...","100,000",4.41
4.7039256,10.505401,Alphabet Puzzles For Toddlers,Children,Literacy - English / ABCs,"This free Alphabet Puzzles for Toddlers is an educational and entertaining game that helps your kids develop matching, tactile and fine motor skills while playing different puzzles. It is a nice, simple, fun, and colorful game for toddlers, preschool...","100,000",3.8
2.1881661,8.868359,First | Fun Learning Games & TV,Children,General play,"First, the app by the babyfirsttv is the complete educational digital playground for your little ones (from 0 to 6)! In our subscription service, they will be able to independently learn with play & video episodes in an ad-free and COMPLETELY SAFE en...","1,000,000",3.88
2.0470319,4.6552544,Losing Weight After Pregnancy,Parents,Parental support,"After giving birth, you may still have some fat and weight leftover you can get rid of. Burn off excess baby weight with help from a professional fitness trainer.

Losing the baby weight: many women wonder how long it takes to lose baby weight and ...","50,000",n/a
5.289237,9.875964,Oxford Phonics World: Personal,Children,Literacy - English / ABCs,"Do you want to help your child read and spell in English? Oxford Phonics World is the first step on your child’s journey into English.

Oxford Phonics World is a three-level phonics course that leads you through the sounds of English. Children over...","50,000",3.17
5.1733627,8.91581,Kids  flashcard game,Children,Literacy - English / ABCs,"Application created for preschool kids to learn English words.
it contains:
-Alphabet learning.
-Numbers 
-Shapes
-Color
-Animals
-Fruits

Flash card Game :
-Added games of image recognition.
-Flash card are provided as per selection.
-Se...","1,000,000",4.15
3.203707,9.966316,Baby Zone - Keep your toddler busy and lock phone,Children,Learning play,"The Baby Zone application is especially dedicated for toddlers, however older kids will enjoy it as well. It has been designed in the way to develop your child hand and eye coordination skills. Game is not monotonous. You have lot of various levels t...","100,000",4.47
3.7859204,10.297024,My First Words: Baby learning apps for infants,Children,Learning play,Are you looking for baby apps for 1 year olds for baby early education? This baby learning app is designed for 1 years old toddlers to teach common everyday words. If your baby is 1 to 2 year olds than this baby learning game is for you. Toddlers lik...,"500,000",4.3
-1.2133359,11.593611,Dino Coloring Game,Children,General play,"Free dinosaur coloring book game. This coloring page game is fun to use and offers lots of free coloring pages. Color the coloring pages of dinos and share them with family or friends.

- Fun to play
- Share your drawing
- Save and load your colo...","10,000,000",4.14
2.8587365,9.418707,Cookie Calls,Children,General play,"This is an app full of fun phone calls from Cookie Monster, which will help teach your child about life skills and milestones.

Ring Ring, Cookie Monster here! Sesame Street's blue, cookie-loving monster wants to video chat with you! Receive video ...","1,000,000",3.97
1.0687959,10.801862,Animals & fruits -  game for toddlers from 1 year,Children,General play,"Perfect for kids and toddlers from 1 year old. Each touch or swipe will cause a cheerful reaction of the animal, fruit, vegetable, or the world around them.

Your little kid will learn the characteristic sounds of animals. Thanks to the lector, chi...","100,000",n/a
-0.10763401,5.052768,PiyoLog: Newborn Baby Tracker,Parents,Tracking babies' rhythms,"Keep an eye on your baby development with PiyoLog, a newborn baby care tracker. Breastfeeding, diaper changing and baby sleep tracker, child development milestones and more! This is a must-have for any parent who’d like to create a nursing routine an...","500,000",4.78
5.687431,8.260281,French For Kids,Children,Literacy - non-English,"- French for Kids app is a way of learning French for kids or beginners. It makes learning French efficient and fun.

- Easy to learn vocabulary through pictures.

- Topics:
ـــــــــــــــــــ
• Alphabet
• Numbers
• Colors
• Shapes
• Days ...","1,000,000",4.46
0.4934207,12.99096,Drawing for kids! Toddler apps,Children,Drawing and colouring,"Love for drawing and love for pets is combined in this exclusive app “Pets drawing for kids”🎨. Addictive paint game for little kids. Learn to draw and color for child easy and fun. Now every toddlers can drawing their painting pets.

Learn to draw ...","1,000,000",3.61
1.2830161,11.682925,Alphabets game - Numbers game,Children,Learning play,"Go on an adventure and play with Aquatic, Farm, Savannah and Jungle animals. Learn numbers and letters with this unique ""Connect the Dots"" Animal Encyclopedia. Master your alphabets and practice counting skills and be rewarded with animal sounds, pic...","100,000",n/a
1.9303874,10.542836,RMB Games 1: Toddler Games,Children,Learning play,"RMB Games – Knowledge Park 1 redefines toddler games by an impressive showcase of free alphabet, numbers, color learning and shape games. These games are perfect for 1, 2, 3, 4, 5 and 6 year old kids. Preschool learning has never been so easy and fun...","100,000",3.75
3.678265,10.111631,Flashcards for Kids in Russian,Children,Learning play,"Flashcards are an easy and interesting way for your child to help them recognize the world around them. Approved worldwide by child psychologists, teachers and parents themselves, it is ideal for very young children up to 7 years of age! 

The addi...","1,000,000",4.39
-0.7458134,7.148723,Soluna Time,Parents,Helping babies to sleep,"It's Moon Time!

Designed with my own child in mind Soluna Time will teach children, and adults, when it's time to wake up and when it's time to go to bed.

If the moon is up they'll know it's time to sleep ( or go back to sleep if they've just w...",1,n/a
0.660751,6.2092004,Yoopies Babysitting - Childcare,Parents,Parental support,"Looking for a wonder nanny to look after your little treasures – or a brilliant babysitter, recommended by other local parents – now you can find the perfect childcare with just a few taps.

Yoopies is on a mission to create more spare time for par...","100,000",2.64
4.711401,9.243218,SmartKidApp,Children,Literacy - English / ABCs,"Best educational app for preschool children, for learning how to write and recognise new words. 12 different areas in one: numbers, letters, flags, proffesions, colors, food, days of the week, calendar, animals, etc.

All words has written and audi...","10,000",n/a
4.3844423,9.79587,Eggy 100,Children,Literacy - English / ABCs,"Reading Eggs Eggy Words 100 is a FREE application designed to help children recognise and learn sight words. Sight words are words that readers should know automatically “at sight”, such as he, the, was and where. This is a sample version of what is ...","100,000",3.66
4.5726757,12.59669,Hey Duggee: The Counting Badge,Children,Numeracy development,"Numbers made fun, with Hey Duggee’s first educational app: The Counting Badge. 

Safe ad-free content for your little ones. 

The Counting Badge has been designed with Early Years Foundation Stage learning outcomes at its core. Featuring a divers...","1,000",4.14
-0.052047357,5.4386115,Parent Sense: Baby Tracker,Parents,Tracking babies' rhythms,Are you new moms and dads looking for a parenting app to track newborn milestones? Or maybe you need a pumping tracker to log feeding times? Welcome to Parent Sense – the all-in-one app for parents to track the newborn activity on their milestone dev...,"10,000",3.5
-0.34069288,9.854608,The Wheels On The Bus Musical,Children,General play,"This all-in-one, “Wheels on the Bus,” activity center is great for kids of all ages! Its filled with educational games and an activity for everyone! Wheel away as you sing through our many mini-games!

INTERACTIVE SING ALONG
Sing the classic: “Whe...","1,000,000",3.62
2.4498608,8.171699,Bedtime Stories and Fairy Tales for Kids - HeyKids,Children,Literacy - English / Reading and Stories,"Enjoy an amazing collection of bedtimes stories for children!

Our app is designed for curious little babies, toddlers, and preschoolers! Your child will enjoy lovely 3D animated fairy tales videos that will help them unleash their imagination and ...","1,000,000",n/a
1.4178542,13.176068,Coloring Games : PreSchool Coloring Book for kids,Children,Drawing and colouring,"★ Educational Coloring book for toddlers ★

Introducing creative fun Coloring Book for kids & Coloring game of Doodling, painting, & drawing app for children with free coloring pages on Android! In this kids drawing book there are 750+ coloring pag...","5,000,000",4.12
0.5634382,13.553772,Baby Distractor: Finger Paint,Children,Drawing and colouring,"A paint app for the youngest!
Very easy to use, no text, no ads.
Many shapes to use with intriguing sounds and automatically shifting colors....","1,000,000",4.16
0.33344358,9.959737,Bus Story Adventures Fairy Tale for Kids,Children,General play,"An interactive story with educational games for 4-6 year olds. The main character of the game is a bus which people don't need any more and leave at a junkyard. But the bus wants to be useful in some other way. It tries to become a helicopter, a truc...","1,000,000",4.0
3.4148695,11.210271,Educational games for kids 2-4,Children,Learning play,"Every parent wonders: which educational games for kids are actually useful? The answer is simple: choose toddler learning games developed by a teacher! Our app can be used as one of the preschool games to boost early development of logic, attention, ...","50,000",n/a
4.857332,8.007598,Lingumi - English for Kids,Children,Literacy - English / ABCs,"Playful English learning for 2-8 year old kids, with guaranteed results. Join the pre-school English learning family now! 👍

Founded by English teacher and Oxford University languages graduate Toby Mather, Lingumi is the most fun, effective, and af...","1,000,000",4.48
-0.5731953,4.690315,Breastfeeding,Parents,Tracking babies' rhythms,"This App does one task: follow your baby's breastfeeding times.

You can share your datas with a trusted third party, by invitation with code confirmation.

Its ergonomic design makes it easy to add input quickly via application shortcuts.

Onc...","10,000",n/a
2.5867367,10.132696,Baby Piano Kids Music Games,Children,General play,Enjoy Kids piano music games! Come and sing with the music toddler and  baby piano tunes in your favorite music games for kids! You can play cool new musical instruments with toddler piano learning friends in baby piano games for toddlers! These amaz...,"1,000,000",3.47
1.9539244,9.123324,Lickety Split -- Kids' Timer,Children,General play,"Tired of nagging your kids to get ready? Asking them 10 times to put away their toys?

The Lickety Split Musical Timer turns daily tasks into a fun, beat-the-clock game.  Accelerating classical music encourages dawdling kids to get going, while an ...","50,000",2.5
2.6789315,12.767247,Colors and Shapes for Toddlers,Children,Learning play,"“Colors and Shapes for Toddlers” is a set of educational and development games. Basic colors and geometric shapes.

***How to play?***
The game features 4 main learning modes:
- teach geometric shapes ( rectangle, circle, etc)
- teach the colors...","500,000",n/a
5.9984293,10.605054,ABC Kids: Phonics and Tracing,Children,Literacy - English / ABCs,"Are you looking for a great and free alphabet learning app for your kid? Welcome to the ABC Kids Games: Phonics and Tracing, a great app for kids.

ABC Kids Games - Phonics and Tracing: is a tracing and phonics app designed to support your child in...","500,000",n/a
5.1324334,10.414231,Sesame Street Alphabet Kitchen,Children,Literacy - English / ABCs,"This is a lite version of Sesame Street Alphabet Kitchen. To unlock all available content and features, you can download a one-time in-app purchase for $2.99 from this lite version.

This is a vocabulary-building app, which will help your child pra...","5,000,000",3.73
4.9172864,10.195122,ABC Learn Alphabet for Kids,Children,Literacy - English / ABCs,"The Bibi.Pet app for learning the alphabet in a simple and fun way has arrived.

The games inside the app have been designed to help your children to familiarize themselves with writing and reading.

Your child will begin to recognize and memoriz...","100,000",n/a
4.017568,13.038634,Kids Kindergarten Math Lite,Children,Numeracy development,"Learning sticks when it’s fun and authentic. Kids Kindergarten Math delivers lessons that are just that!

Join Hamster and his trusty forklift as he uses numerical ordering, basic addition and subtraction and other kindergarten level math skills to...","5,000",n/a
5.188037,12.628647,Pinkfong 123 Numbers,Children,Numeracy development,"Pinkfong 123 Numbers is an educational app for pre-school children, created by professional education experts.
The app includes variety of numbers activities -- including animated videos, interactive games, tracing and coloring activities from 1 to ...","1,000,000",2.53
1.6880436,0.59733474,Oky  Period Tracker App For Girls,Parents,Fertility tracking,"Oky is a mobile app for girls (age 10+) that helps you to take control of your periods and your lives through a bit of fun!

With Oky you can track how your period affects your body and mood so you can get to know you, get personalised predictions ...","10,000",3.96
2.2670033,10.646504,Coloring Book - Kids Paint,Children,Learning play,"Many free educational activities, all in one game.

An application thought and designed to stimulate children's learning while playing and having fun.

With this game they will stay entertained with didactic content, pedagogically developed in di...","5,000,000",4.03
4.3707676,12.61954,First Numbers - Pro,Children,Numeracy development,"With this app your child will practice basic math skills :
- Reading numbers
- Counting objects 0 -10
- Counting Up and Down
- Greater and Smaller than
- Addition and Subtraction up to 10

/*** for Arab countries using ( أ رقام١٠-١) you can ch...","100,000",n/a
0.98101705,5.523578,Baby Motion,Children,General play,"Baby Motion is an app specifically created for your newborn. Motions within this app have been created based on extensive scientific research and are specially designed for babies from 0-6 months where studies show they prefer simple, high contrast, ...",500,n/a
5.4131765,9.95814,Alphablocks World,Children,Literacy - English / ABCs,"Who better to show you how words work than the letters of the alphabet themselves?

Alphablocks World is a fun, educational app filled with videos and unique interactive books to help kids aged 3+ learn to read. 

Learning to read is easy when yo...","100,000",3.2
1.6026008,7.939453,Kids Song and Nursery Rhymes,Children,General play,This offline application contains a collection of dozens of popular age-appropriate children songs that can be used to educate and shape children's character. This application is very suitable for use on children's cellphones or tablets while traveli...,"100,000",n/a
